trade_date,tse23_close,tse28_close
2013-09-11,298.72,969.25
2013-09-12,297.42,974.03
2013-09-13,295.88,968.85
2013-09-14,294.91,963.94
2013-09-16,299.61,975.09
2013-09-17,299.09,976.72
2013-09-18,297.21,973.95
2013-09-23,300.65,986.92
2013-09-24,301.43,985.2
2013-09-25,299.77,986.36
2013-09-26,296.25,973.2
2013-09-27,297.91,980.47
2013-09-30,295.95,969.66
2013-10-01,296.63,972.58
2013-10-02,297.09,969.15
2013-10-03,301.39,993.1
2013-10-04,300.88,994.34
2013-10-07,297.71,998.37
2013-10-08,299.14,1011.55
2013-10-09,297.76,1015.58
2013-10-11,298.16,1016.57
2013-10-14,294.09,1015.38
2013-10-15,297.97,1020.0
2013-10-16,296.13,1016.92
2013-10-17,298.1,1016.33
2013-10-18,302.08,1014.37
2013-10-21,300.93,1014.1
2013-10-22,301.59,1013.86
